geneid,node1,node2,node1_string_id,node2_string_id,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score
6804,STX1A,CLIP2,9606.ENSP00000222812,9606.ENSP00000223398,0.0,0.0,0.703,0.715
6804,STX1A,SEC61B,9606.ENSP00000222812,9606.ENSP00000223641,0.0,0.5,0.097,0.529
6804,STX1A,GOSR1,9606.ENSP00000222812,9606.ENSP00000225724,0.091,0.54,0.286,0.675
8976,WASL,PFN1,9606.ENSP00000223023,9606.ENSP00000225655,0.619,0.0,0.91,0.965
5118,PCOLCE,PLOD3,9606.ENSP00000223061,9606.ENSP00000223127,0.0,0.0,0.347,0.408
5118,PCOLCE,AEBP1,9606.ENSP00000223061,9606.ENSP00000223357,0.0,0.0,0.302,0.5
55131,RBM28,UTP18,9606.ENSP00000223073,9606.ENSP00000225298,0.0,0.4,0.077,0.898
55131,RBM28,DDX5,9606.ENSP00000223073,9606.ENSP00000225792,0.129,0.0,0.102,0.422
5054,SERPINE1,MPO,9606.ENSP00000223095,9606.ENSP00000225275,0.0,0.0,0.68,0.685
6119,RPA3,STN1,9606.ENSP00000223129,9606.ENSP00000224950,0.296,0.0,0.996,0.997
51024,FIS1,PPIF,9606.ENSP00000223136,9606.ENSP00000225174,0.045,0.0,0.544,0.552
95681,CEP41,MEST,9606.ENSP00000223208,9606.ENSP00000223215,0.0,0.0,0.874,0.877
5683,PSMA2,RPL19,9606.ENSP00000223321,9606.ENSP00000225430,0.0,0.0,0.169,0.414
5683,PSMA2,SHPK,9606.ENSP00000223321,9606.ENSP00000225519,0.312,0.0,0.115,0.412
10652,YKT6,PFN1,9606.ENSP00000223369,9606.ENSP00000225655,0.0,0.0,0.764,0.774
10652,YKT6,GOSR1,9606.ENSP00000223369,9606.ENSP00000225724,0.974,0.54,0.993,0.999
10952,SEC61B,RPL19,9606.ENSP00000223641,9606.ENSP00000225430,0.972,0.0,0.07,0.981
10952,SEC61B,CCDC47,9606.ENSP00000223641,9606.ENSP00000225726,0.849,0.0,0.0,0.85
727,C5,PPIF,9606.ENSP00000223642,9606.ENSP00000225174,0.0,0.9,0.0,0.901
8721,EDF1,RPL19,9606.ENSP00000224073,9606.ENSP00000225430,0.862,0.0,0.0,0.908
23064,SETX,SUPT4H1,9606.ENSP00000224140,9606.ENSP00000225504,0.088,0.0,0.73,0.749
23064,SETX,PFN1,9606.ENSP00000224140,9606.ENSP00000225655,0.0,0.0,0.53,0.531
23064,SETX,DDX5,9606.ENSP00000224140,9606.ENSP00000225792,0.091,0.0,0.63,0.681
59,ACTA2,PFN1,9606.ENSP00000224784,9606.ENSP00000225655,0.331,0.0,0.191,0.449
81855,SFXN3,P2RX1,9606.ENSP00000224807,9606.ENSP00000225538,0.0,0.0,0.385,0.411
10105,PPIF,C1QBP,9606.ENSP00000225174,9606.ENSP00000225698,0.338,0.0,0.169,0.489
4353,MPO,GALK1,9606.ENSP00000225275,9606.ENSP00000225614,0.0,0.0,0.423,0.423
56919,DHX33,UTP18,9606.ENSP00000225296,9606.ENSP00000225298,0.514,0.0,0.1,0.679
56919,DHX33,DDX5,9606.ENSP00000225296,9606.ENSP00000225792,0.122,0.0,0.312,0.427
5026,P2RX5,TAX1BP3,9606.ENSP00000225328,9606.ENSP00000225525,0.0,0.0,0.517,0.517
5026,P2RX5,P2RX1,9606.ENSP00000225328,9606.ENSP00000225538,0.0,0.9,0.815,0.982
57532,NUFIP2,RPL19,9606.ENSP00000225388,9606.ENSP00000225430,0.196,0.72,0.047,0.773
6143,RPL19,CCDC47,9606.ENSP00000225430,9606.ENSP00000225726,0.816,0.0,0.0,0.817
6143,RPL19,DRG2,9606.ENSP00000225430,9606.ENSP00000225729,0.429,0.0,0.042,0.662
6143,RPL19,DDX5,9606.ENSP00000225430,9606.ENSP00000225792,0.359,0.0,0.161,0.501
6347,CCL2,CD38,9606.ENSP00000225831,9606.ENSP00000226279,0.0,0.0,0.468,0.486
6347,CCL2,PF4V1,9606.ENSP00000225831,9606.ENSP00000226524,0.0,0.0,0.401,0.401
